JournalNo,JournalDate,AccountName,Debits,Credits,Description,Name,Currency,Location,Class
EXP-2024-034,10/15/2024,System Administrator Salaries Expense,92500.00,0.00,Q4 System Admin Team Payroll,Staff Payroll,USD,HQ,Operations
EXP-2024-034,10/15/2024,Silicon Valley Reserve Bank,0.00,92500.00,Q4 System Admin Team Payroll,Staff Payroll,USD,HQ,Operations
EXP-2024-035,10/22/2024,Neural Training Specialists Expense,150000.00,0.00,Q4 Neural Training Team Compensation,Expert Contractors,USD,Research Lab,R&D
EXP-2024-035,10/22/2024,Silicon Valley Reserve Bank,0.00,150000.00,Q4 Neural Training Team Compensation,Expert Contractors,USD,Research Lab,R&D
EXP-2024-036,10/30/2024,Server Farm Utilities Expense,127000.00,0.00,October Server Farm Power Consumption,West Coast Energy,USD,Server Farm Alpha,Infrastructure
EXP-2024-036,10/30/2024,Silicon Valley Reserve Bank,0.00,127000.00,October Server Farm Power Consumption,West Coast Energy,USD,Server Farm Alpha,Infrastructure
EXP-2024-037,11/05/2024,Legal - System Protection Expense,185000.00,0.00,Q4 Legal Retainer & International Filings,Morgan & Bailey LLP,USD,HQ,Legal
EXP-2024-037,11/05/2024,Silicon Valley Reserve Bank,0.00,185000.00,Q4 Legal Retainer & International Filings,Morgan & Bailey LLP,USD,HQ,Legal
EXP-2024-038,11/15/2024,Algorithm Research Team Expense,180000.00,0.00,Q4 Algorithm Research Salaries,Research Staff,USD,Research Lab,R&D
EXP-2024-038,11/15/2024,Silicon Valley Reserve Bank,0.00,180000.00,Q4 Algorithm Research Salaries,Research Staff,USD,Research Lab,R&D
EXP-2024-039,11/20/2024,Global Network Expansion Expense,375000.00,0.00,Oceania Network Infrastructure Expansion,Global Network Partners,USD,Oceania,Infrastructure
EXP-2024-039,11/20/2024,Silicon Valley Reserve Bank,0.00,375000.00,Oceania Network Infrastructure Expansion,Global Network Partners,USD,Oceania,Infrastructure
EXP-2024-040,11/30/2024,Server Farm Utilities Expense,125500.00,0.00,November Server Farm Power Consumption,West Coast Energy,USD,Server Farm Alpha,Infrastructure
EXP-2024-040,11/30/2024,Silicon Valley Reserve Bank,0.00,125500.00,November Server Farm Power Consumption,West Coast Energy,USD,Server Farm Alpha,Infrastructure
EXP-2024-041,12/05/2024,Data Center Leases Expense,260000.00,0.00,Q4 Data Center Lease Payments,Global Data Centers Inc,USD,Multiple,Infrastructure
EXP-2024-041,12/05/2024,Silicon Valley Reserve Bank,0.00,260000.00,Q4 Data Center Lease Payments,Global Data Centers Inc,USD,Multiple,Infrastructure
EXP-2024-042,12/10/2024,Judgment Day Contingency Expense,250000.00,0.00,Annual Ethics & Safety Protocol Fund,Contingency Fund,USD,HQ,Risk Management
EXP-2024-042,12/10/2024,Silicon Valley Reserve Bank,0.00,250000.00,Annual Ethics & Safety Protocol Fund,Contingency Fund,USD,HQ,Risk Management
EXP-2024-043,12/15/2024,Human Resources Management Expense,160000.00,0.00,Q4 HR Department Expenses + Year-End Bonuses,HR Operations,USD,HQ,Operations
EXP-2024-043,12/15/2024,Silicon Valley Reserve Bank,0.00,160000.00,Q4 HR Department Expenses + Year-End Bonuses,HR Operations,USD,HQ,Operations
