JournalNo,JournalDate,AccountName,Debits,Credits,Description,Name,Currency,Location,Class
EXP-2025-014,02/26/2025,Global Network Expansion Expense,425000.00,0.00,Arctic Data Center Infrastructure Project,Polar Network Solutions,USD,Arctic,Infrastructure
EXP-2025-014,02/26/2025,Silicon Valley Reserve Bank,0.00,425000.00,Arctic Data Center Infrastructure Project,Polar Network Solutions,USD,Arctic,Infrastructure
EXP-2025-015,02/26/2025,Server Farm Utilities Expense,146500.00,0.00,February High-Performance Computing Surge,West Coast Energy,USD,Server Farm Beta,Infrastructure
EXP-2025-015,02/26/2025,Silicon Valley Reserve Bank,0.00,146500.00,February High-Performance Computing Surge,West Coast Energy,USD,Server Farm Beta,Infrastructure
EXP-2025-016,02/26/2025,Neural Training Specialists Expense,170000.00,0.00,Specialized Deep Learning Research Team,Advanced AI Consultants,USD,Research Lab,R&D
EXP-2025-016,02/26/2025,Silicon Valley Reserve Bank,0.00,170000.00,Specialized Deep Learning Research Team,Advanced AI Consultants,USD,Research Lab,R&D
EXP-2025-017,02/26/2025,Algorithm Research Team Expense,205000.00,0.00,Quantum Algorithm Optimization Project,Quantum Research Division,USD,Research Lab,R&D
EXP-2025-017,02/26/2025,Silicon Valley Reserve Bank,0.00,205000.00,Quantum Algorithm Optimization Project,Quantum Research Division,USD,Research Lab,R&D
EXP-2025-018,02/26/2025,System Administrator Salaries Expense,105000.00,0.00,Emergency Infrastructure Support Team,On-Call Team,USD,HQ,Operations
EXP-2025-018,02/26/2025,Silicon Valley Reserve Bank,0.00,105000.00,Emergency Infrastructure Support Team,On-Call Team,USD,HQ,Operations
EXP-2025-019,02/26/2025,Data Center Leases Expense,285000.00,0.00,Expanded Quantum-Ready Data Center Capacity,Quantum Infrastructure Inc,USD,Multiple,Infrastructure
EXP-2025-019,02/26/2025,Silicon Valley Reserve Bank,0.00,285000.00,Expanded Quantum-Ready Data Center Capacity,Quantum Infrastructure Inc,USD,Multiple,Infrastructure
EXP-2025-020,02/26/2025,Research & Development Expense,510000.00,0.00,Consciousness Simulation Research Initiative,Internal Projects,USD,Research Lab,R&D
EXP-2025-020,02/26/2025,Silicon Valley Reserve Bank,0.00,510000.00,Consciousness Simulation Research Initiative,Internal Projects,USD,Research Lab,R&D
EXP-2025-021,02/26/2025,Legal - System Protection Expense,210000.00,0.00,International AI Regulatory Compliance,Morgan & Bailey LLP,USD,HQ,Legal
